First Name,Last Name,Title,Department,Email,DepartmentID,EmployeeID,Manager
Ainsley,Barnett,Customer Service Representative,Customer Service,abarnett@red30tech.com,2,1,8
Amaya,Witt,Customer Service Manager,Customer Service,awitt@red30tech.com,2,8,80
Jemima,Mccormick,Customer Service Representative,Customer Service,jmccormick@red30tech.com,2,9,8
Julie,Davenport,Customer Service Representative,Customer Service,jdavenport@red30tech.com,2,15,8
Thor,Watson,Customer Service Representative,Customer Service,twatson@red30tech.com,2,19,8
Medge,Rollins,Customer Service Representative,Customer Service,mrollins@red30tech.com,2,21,8
Amelia,Mcfadden,Customer Service Representative,Customer Service,amcfadden@red30tech.com,2,23,8
Isabella,Bauer,Customer Service Representative,Customer Service,ibauer@red30tech.com,2,51,80
Denton,Lester,Customer Service Representative,Customer Service,dlester@red30tech.com,2,56,70
Rahim,Hyde,Customer Service Representative,Customer Service,rhyde@red30tech.com,2,63,70
Darrel,Pate,Customer Service Representative,Customer Service,dpate@red30tech.com,2,64,70
Adena,Morse,Customer Service Representative,Customer Service,amorse@red30tech.com,2,65,70
Kiona,Hancock,Customer Service Manager,Customer Service,khancock@red30tech.com,2,70,80
Athena,Bean,Customer Service Representative,Customer Service,abean@red30tech.com,2,71,70
Erin,Atkinson,Customer Service Representative,Customer Service,eatkinson@red30tech.com,2,74,70
Carter,Peterson,Customer Service Representative,Customer Service,cpeterson@red30tech.com,2,76,70
Amethyst,Ashley,VP Customer Service,Customer Service,aashley@red30tech.com,2,80,37
Susan,Potter,Customer Service Representative,Customer Service,spotter@red30tech.com,2,83,70
Donovan,Jarvis,Owner and CEO,Executive Team,djarvis@red30tech.com,1,37,37
Reagan,Wheeler,Executive Assistant,Executive Team,rwheeler@red30tech.com,1,43,37
Devin,David,CFO,Executive Team,ddavid@red30tech.com,1,49,37
Dakota,Alston,Executive Assistant,Executive Team,dalston@red30tech.com,1,53,37
Ursula,Ballard,Executive Assistant,Executive Team,uballard@red30tech.com,1,78,49
Isaiah,Kelley,Engineer,Facilities,ikelley@red30tech.com,3,20,27
Guinevere,Banks,Engineer,Facilities,gbanks@red30tech.com,3,27,80
Sierra,Obrien,Engineer,Facilities,sobrien@red30tech.com,3,59,27
Scarlet,Mccoy,Accountant,Finance,smccoy@red30tech.com,4,16,49
Hector,Dillon,Accountant,Finance,hdillon@red30tech.com,4,22,49
Rowan,Justice,HR Assistant,Human Resources,rjustice@red30tech.com,5,25,32
Dillon,Hahn,HR Assistant,Human Resources,dhahn@red30tech.com,5,30,32
Bert,Russell,Vice President HR,Human Resources,brussell@red30tech.com,5,32,37
Gage,Hurley,HR Assistant,Human Resources,ghurley@red30tech.com,5,47,32
Dolan,York,Server Adminstrator,Information Systems,dyork@red30tech.com,6,17,81
Basil,Pope,Server Adminstrator,Information Systems,bpope@red30tech.com,6,61,81
Rhonda,Hahn,Server Adminstrator,Information Systems,rhahn@red30tech.com,6,69,81
Natalie,Norris,Server Adminstrator,Information Systems,nnorris@red30tech.com,6,72,81
Addison,Beck,Server Adminstrator,Information Systems,abeck@red30tech.com,6,75,81
Gavin,Medina,Chief Technology Officer,Information Systems,gmedina@red30tech.com,6,81,49
Dacey,Flynn,Server Adminstrator,Information Systems,dflynn@red30tech.com,6,82,81
Mary,Small,Manager UI/UX,Marketing,msmall@red30tech.com,7,5,79
Quincy,Lindsay,Designer,Marketing,qlindsay@red30tech.com,7,12,5
Lewis,Rivas,Senior Writer,Marketing,lrivas@red30tech.com,7,13,77
Deanna,Rowland,Designer,Marketing,drowland@red30tech.com,7,14,5
Zahir,Pickett,Web Designer,Marketing,zpickett@red30tech.com,7,18,5
